Hurricane Hector
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   15 AUG 2006 21:00   114.1   13.0    35    1006
   16 AUG 2006 03:00   115.3   13.3    35    1006
   16 AUG 2006 09:00   116.5   13.1    45    1000
   16 AUG 2006 15:00   117.2   13.0    65     992
   16 AUG 2006 21:00   117.6   13.8    65     992
   17 AUG 2006 03:00   118.6   14.3    65     992
   17 AUG 2006 09:00   119.6   14.5    70     989
   17 AUG 2006 15:00   121.1   14.7    85     979
   17 AUG 2006 21:00   122.1   15.0    90     975
   18 AUG 2006 03:00   123.2   15.4    90     975
   18 AUG 2006 09:00   124.4   15.8   105     970
   18 AUG 2006 15:00   125.8   16.1   100     972
   18 AUG 2006 21:00   126.9   16.7   100     972
   19 AUG 2006 03:00   128.0   17.0   100     972
   19 AUG 2006 09:00   129.1   17.4   105     970
   19 AUG 2006 15:00   130.1   17.7   100     972
   19 AUG 2006 21:00   131.0   18.3    85     979
   20 AUG 2006 03:00   132.1   19.0    80     982
   20 AUG 2006 09:00   132.6   19.4    85     980
   20 AUG 2006 15:00   133.5   19.8    70     986
   20 AUG 2006 21:00   134.2   20.4    60     995
   21 AUG 2006 03:00   134.6   20.9    45    1000
   21 AUG 2006 09:00   135.1   21.2    40    1005
   21 AUG 2006 15:00   135.4   21.8    40    1005
   21 AUG 2006 21:00   135.5   22.3    45    1002
   22 AUG 2006 03:00   135.9   22.6    40    1005
   22 AUG 2006 09:00   136.5   22.4    40    1005
   22 AUG 2006 15:00   137.0   22.8    40    1007
   22 AUG 2006 21:00   137.4   22.9    40    1007
   22 AUG 2006 03:00   138.1   23.0    35    1009
